YYYYMMDD,19760923
YYYYMMDDThh:mm+hh,19760923T11:11+11
YYYYMMDDThh:mm-hh:mm,19760923T11:11-11:11
YYYYMMDDThh:mm-hhmm,19760923T11:11-1111
YYYYMMDDThh:mm-hh,19760923T11:11-11
YYYYMMDD hh:mmZ,19760923 11:11Z
YYYYMMDD hh:mm+hh:mm,19760923 11:11+11:11
YYYYMMDD hh:mm+hhmm,19760923 11:11+1111
YYYYMMDD hh:mm+hh,19760923 11:11+11
YYYYMMDD hh:mm-hh:mm,19760923 11:11-11:11
YYYYMMDD hh:mm-hhmm,19760923 11:11-1111
YYYYMMDD hh:mm-hh,19760923 11:11-11
YYYYMMDDThh:mm:ssZ,19760923T11:11:11Z
YYYYMMDDThh:mm:ss+hh:mm,19760923T11:11:11+11:11
YYYYMMDDThh:mm:ss+hhmm,19760923T11:11:11+1111
YYYYMMDDThh:mm:ss+hh,19760923T11:11:11+11
YYYYMMDDThh:mm:ss-hh:mm,19760923T11:11:11-11:11
YYYYMMDDThh:mm:ss-hhmm,19760923T11:11:11-1111
YYYYMMDDThh:mm:ss-hh,19760923T11:11:11-11
YYYYMMDD hh:mm:ssZ,19760923 11:11:11Z
YYYYMMDD hh:mm:ss+hh:mm,19760923 11:11:11+11:11
YYYYMMDD hh:mm:ss+hhmm,19760923 11:11:11+1111
YYYYMMDD hh:mm:ss+hh,19760923 11:11:11+11
YYYYMMDD hh:mm:ss-hh:mm,19760923 11:11:11-11:11
YYYYMMDD hh:mm:ss-hhmm,19760923 11:11:11-1111
YYYYMMDD hh:mm:ss-hh,19760923 11:11:11-11
YYYYMMDDThh:mm:ss.sssZ,19760923T11:11:11.888Z
YYYYMMDDThh:mm:ss.sss+hh:mm,19760923T11:11:11.888+11:11
YYYYMMDDThh:mm:ss.sss+hhmm,19760923T11:11:11.888+1111
YYYYMMDDThh:mm:ss.sss+hh,19760923T11:11:11.888+11
YYYYMMDDThh:mm:ss.sss-hh:mm,19760923T11:11:11.888-11:11
YYYYMMDDThh:mm:ss.sss-hhmm,19760923T11:11:11.888-1111
YYYYMMDDThh:mm:ss.sss-hh,19760923T11:11:11.888-11
YYYYMMDD hh:mm:ss.sssZ,19760923 11:11:11.888Z
YYYYMMDD hh:mm:ss.sss+hh:mm,19760923 11:11:11.888+11:11
YYYYMMDD hh:mm:ss.sss+hhmm,19760923 11:11:11.888+1111
YYYYMMDD hh:mm:ss.sss+hh,19760923 11:11:11.888+11
YYYYMMDD hh:mm:ss.sss-hh:mm,19760923 11:11:11.888-11:11
YYYYMMDD hh:mm:ss.sss-hhmm,19760923 11:11:11.888-1111
YYYYMMDD hh:mm:ss.sss-hh,19760923 11:11:11.888-11
YYYY/MM/DDThhZ,1976/09/23T11Z
YYYY/MM/DDThh+hh:mm,1976/09/23T11+11:11
YYYY/MM/DDThh+hhmm,1976/09/23T11+1111
YYYY/MM/DDThh+hh,1976/09/23T11+11
YYYY/MM/DDThh-hh:mm,1976/09/23T11-11:11
YYYY/MM/DDThh-hhmm,1976/09/23T11-1111
YYYY/MM/DDThh-hh,1976/09/23T11-11
YYYY/MM/DD hhZ,1976/09/23 11Z
YYYY/MM/DD hh+hh:mm,1976/09/23 11+11:11
YYYY/MM/DD hh+hhmm,1976/09/23 11+1111
YYYY/MM/DD hh+hh,1976/09/23 11+11
YYYY/MM/DD hh-hh:mm,1976/09/23 11-11:11
YYYY/MM/DD hh-hhmm,1976/09/23 11-1111
YYYY/MM/DD hh-hh,1976/09/23 11-11
YYYY/MM/DDThhmmZ,1976/09/23T1111Z
YYYY/MM/DDThhmm+hh:mm,1976/09/23T1111+11:11
YYYY/MM/DDThhmm+hhmm,1976/09/23T1111+1111
YYYY/MM/DDThhmm+hh,1976/09/23T1111+11
YYYY/MM/DDThhmm-hh:mm,1976/09/23T1111-11:11
YYYY/MM/DDThhmm-hhmm,1976/09/23T1111-1111
YYYY/MM/DDThhmm-hh,1976/09/23T1111-11
YYYY/MM/DD hhmmZ,1976/09/23 1111Z
YYYY/MM/DD hhmm+hh:mm,1976/09/23 1111+11:11
YYYY/MM/DD hhmm+hhmm,1976/09/23 1111+1111
YYYY/MM/DD hhmm+hh,1976/09/23 1111+11
YYYY/MM/DD hhmm-hh:mm,1976/09/23 1111-11:11
YYYY/MM/DD hhmm-hhmm,1976/09/23 1111-1111
YYYY/MM/DD hhmm-hh,1976/09/23 1111-11
YYYY/MM/DDThhmmssZ,1976/09/23T111111Z
YYYY/MM/DDThhmmss+hh:mm,1976/09/23T111111+11:11
YYYY/MM/DDThhmmss+hhmm,1976/09/23T111111+1111
YYYY/MM/DDThhmmss+hh,1976/09/23T111111+11
YYYY/MM/DDThhmmss-hh:mm,1976/09/23T111111-11:11
YYYY/MM/DDThhmmss-hhmm,1976/09/23T111111-1111
YYYY/MM/DDThhmmss-hh,1976/09/23T111111-11
YYYY/MM/DD hhmmssZ,1976/09/23 111111Z
YYYY/MM/DD hhmmss+hh:mm,1976/09/23 111111+11:11
YYYY/MM/DD hhmmss+hhmm,1976/09/23 111111+1111
YYYY/MM/DD hhmmss+hh,1976/09/23 111111+11
YYYY/MM/DD hhmmss-hh:mm,1976/09/23 111111-11:11
YYYY/MM/DD hhmmss-hhmm,1976/09/23 111111-1111
YYYY/MM/DD hhmmss-hh,1976/09/23 111111-11
YYYY/MM/DDThhmmss.sssZ,1976/09/23T111111.888Z
YYYY/MM/DDThhmmss.sss+hh:mm,1976/09/23T111111.888+11:11
YYYY/MM/DDThhmmss.sss+hhmm,1976/09/23T111111.888+1111
YYYY/MM/DDThhmmss.sss+hh,1976/09/23T111111.888+11
YYYY/MM/DDThhmmss.sss-hh:mm,1976/09/23T111111.888-11:11
YYYY/MM/DDThhmmss.sss-hhmm,1976/09/23T111111.888-1111
YYYY/MM/DDThhmmss.sss-hh,1976/09/23T111111.888-11
YYYY/MM/DD hhmmss.sssZ,1976/09/23 111111.888Z
YYYY/MM/DD hhmmss.sss+hh:mm,1976/09/23 111111.888+11:11
YYYY/MM/DD hhmmss.sss+hhmm,1976/09/23 111111.888+1111
YYYY/MM/DD hhmmss.sss+hh,1976/09/23 111111.888+11
YYYY/MM/DD hhmmss.sss-hh:mm,1976/09/23 111111.888-11:11
YYYY/MM/DD hhmmss.sss-hhmm,1976/09/23 111111.888-1111
YYYY/MM/DD hhmmss.sss-hh,1976/09/23 111111.888-11
YYYY/MM/DDThh:mmZ,1976/09/23T11:11Z
YYYY/MM/DDThh:mm+hh:mm,1976/09/23T11:11+11:11
YYYY/MM/DDThh:mm+hhmm,1976/09/23T11:11+1111
YYYY/MM/DDThh:mm+hh,1976/09/23T11:11+11
YYYY/MM/DDThh:mm-hh:mm,1976/09/23T11:11-11:11
YYYY/MM/DDThh:mm-hhmm,1976/09/23T11:11-1111
YYYY/MM/DDThh:mm-hh,1976/09/23T11:11-11
YYYY/MM/DD hh:mmZ,1976/09/23 11:11Z
YYYY/MM/DD hh:mm+hh:mm,1976/09/23 11:11+11:11
YYYY/MM/DD hh:mm+hhmm,1976/09/23 11:11+1111
YYYY/MM/DD hh:mm+hh,1976/09/23 11:11+11
YYYY/MM/DD hh:mm-hh:mm,1976/09/23 11:11-11:11
YYYY/MM/DD hh:mm-hhmm,1976/09/23 11:11-1111
YYYY/MM/DD hh:mm-hh,1976/09/23 11:11-11
YYYY/MM/DDThh:mm:ssZ,1976/09/23T11:11:11Z
YYYY/MM/DDThh:mm:ss+hh:mm,1976/09/23T11:11:11+11:11
YYYY/MM/DDThh:mm:ss+hhmm,1976/09/23T11:11:11+1111
YYYY/MM/DDThh:mm:ss+hh,1976/09/23T11:11:11+11
YYYY/MM/DDThh:mm:ss-hh:mm,1976/09/23T11:11:11-11:11
YYYY/MM/DDThh:mm:ss-hhmm,1976/09/23T11:11:11-1111
YYYY/MM/DDThh:mm:ss-hh,1976/09/23T11:11:11-11
YYYY/MM/DD hh:mm:ssZ,1976/09/23 11:11:11Z
YYYY/MM/DD hh:mm:ss+hh:mm,1976/09/23 11:11:11+11:11
YYYY/MM/DD hh:mm:ss+hhmm,1976/09/23 11:11:11+1111
YYYY/MM/DD hh:mm:ss+hh,1976/09/23 11:11:11+11
YYYY/MM/DD hh:mm:ss-hh:mm,1976/09/23 11:11:11-11:11
YYYY/MM/DD hh:mm:ss-hhmm,1976/09/23 11:11:11-1111
YYYY/MM/DD hh:mm:ss-hh,1976/09/23 11:11:11-11
YYYY/MM/DDThh:mm:ss.sssZ,1976/09/23T11:11:11.888Z
YYYY/MM/DDThh:mm:ss.sss+hh:mm,1976/09/23T11:11:11.888+11:11
YYYY/MM/DDThh:mm:ss.sss+hhmm,1976/09/23T11:11:11.888+1111
YYYY/MM/DDThh:mm:ss.sss+hh,1976/09/23T11:11:11.888+11
YYYY/MM/DDThh:mm:ss.sss-hh:mm,1976/09/23T11:11:11.888-11:11
YYYY/MM/DDThh:mm:ss.sss-hhmm,1976/09/23T11:11:11.888-1111
YYYY/MM/DDThh:mm:ss.sss-hh,1976/09/23T11:11:11.888-11
YYYY/MM/DD hh:mm:ss.sssZ,1976/09/23 11:11:11.888Z
YYYY/MM/DD hh:mm:ss.sss+hh:mm,1976/09/23 11:11:11.888+11:11
YYYY/MM/DD hh:mm:ss.sss+hhmm,1976/09/23 11:11:11.888+1111
YYYY/MM/DD hh:mm:ss.sss+hh,1976/09/23 11:11:11.888+11
YYYY/MM/DD hh:mm:ss.sss-hh:mm,1976/09/23 11:11:11.888-11:11
YYYY/MM/DD hh:mm:ss.sss-hhmm,1976/09/23 11:11:11.888-1111
YYYY/MM/DD hh:mm:ss.sss-hh,1976/09/23 11:11:11.888-11
YYYY-MM-DDThhZ,1976-09-23T11Z
YYYY-MM-DDThh+hh:mm,1976-09-23T11+11:11
YYYY-MM-DDThh+hhmm,1976-09-23T11+1111
YYYY-MM-DDThh+hh,1976-09-23T11+11
YYYY-MM-DDThh-hh:mm,1976-09-23T11-11:11
YYYY-MM-DDThh-hhmm,1976-09-23T11-1111
YYYY-MM-DDThh-hh,1976-09-23T11-11
YYYY-MM-DD hhZ,1976-09-23 11Z
YYYY-MM-DD hh+hh:mm,1976-09-23 11+11:11
YYYY-MM-DD hh+hhmm,1976-09-23 11+1111
YYYY-MM-DD hh+hh,1976-09-23 11+11
YYYY-MM-DD hh-hh:mm,1976-09-23 11-11:11
YYYY-MM-DD hh-hhmm,1976-09-23 11-1111
YYYY-MM-DD hh-hh,1976-09-23 11-11
YYYY-MM-DDThhmmZ,1976-09-23T1111Z
YYYY-MM-DDThhmm+hh:mm,1976-09-23T1111+11:11
YYYY-MM-DDThhmm+hhmm,1976-09-23T1111+1111
YYYY-MM-DDThhmm+hh,1976-09-23T1111+11
YYYY-MM-DDThhmm-hh:mm,1976-09-23T1111-11:11
YYYY-MM-DDThhmm-hhmm,1976-09-23T1111-1111
YYYY-MM-DDThhmm-hh,1976-09-23T1111-11
YYYY-MM-DD hhmmZ,1976-09-23 1111Z
YYYY-MM-DD hhmm+hh:mm,1976-09-23 1111+11:11
YYYY-MM-DD hhmm+hhmm,1976-09-23 1111+1111
YYYY-MM-DD hhmm+hh,1976-09-23 1111+11
YYYY-MM-DD hhmm-hh:mm,1976-09-23 1111-11:11
YYYY-MM-DD hhmm-hhmm,1976-09-23 1111-1111
YYYY-MM-DD hhmm-hh,1976-09-23 1111-11
YYYY-MM-DDThhmmssZ,1976-09-23T111111Z
YYYY-MM-DDThhmmss+hh:mm,1976-09-23T111111+11:11
YYYY-MM-DDThhmmss+hhmm,1976-09-23T111111+1111
YYYY-MM-DDThhmmss+hh,1976-09-23T111111+11
YYYY-MM-DDThhmmss-hh:mm,1976-09-23T111111-11:11
YYYY-MM-DDThhmmss-hhmm,1976-09-23T111111-1111
YYYY-MM-DDThhmmss-hh,1976-09-23T111111-11
YYYY-MM-DD hhmmssZ,1976-09-23 111111Z
YYYY-MM-DD hhmmss+hh:mm,1976-09-23 111111+11:11
YYYY-MM-DD hhmmss+hhmm,1976-09-23 111111+1111
YYYY-MM-DD hhmmss+hh,1976-09-23 111111+11
YYYY-MM-DD hhmmss-hh:mm,1976-09-23 111111-11:11
YYYY-MM-DD hhmmss-hhmm,1976-09-23 111111-1111
YYYY-MM-DD hhmmss-hh,1976-09-23 111111-11
YYYY-MM-DDThhmmss.sssZ,1976-09-23T111111.888Z
YYYY-MM-DDThhmmss.sss+hh:mm,1976-09-23T111111.888+11:11
YYYY-MM-DDThhmmss.sss+hhmm,1976-09-23T111111.888+1111
YYYY-MM-DDThhmmss.sss+hh,1976-09-23T111111.888+11
YYYY-MM-DDThhmmss.sss-hh:mm,1976-09-23T111111.888-11:11
YYYY-MM-DDThhmmss.sss-hhmm,1976-09-23T111111.888-1111
YYYY-MM-DDThhmmss.sss-hh,1976-09-23T111111.888-11
YYYY-MM-DD hhmmss.sssZ,1976-09-23 111111.888Z
YYYY-MM-DD hhmmss.sss+hh:mm,1976-09-23 111111.888+11:11
YYYY-MM-DD hhmmss.sss+hhmm,1976-09-23 111111.888+1111
YYYY-MM-DD hhmmss.sss+hh,1976-09-23 111111.888+11
YYYY-MM-DD hhmmss.sss-hh:mm,1976-09-23 111111.888-11:11
YYYY-MM-DD hhmmss.sss-hhmm,1976-09-23 111111.888-1111
YYYY-MM-DD hhmmss.sss-hh,1976-09-23 111111.888-11
YYYY-MM-DDThh:mmZ,1976-09-23T11:11Z
YYYY-MM-DDThh:mm+hh:mm,1976-09-23T11:11+11:11
YYYY-MM-DDThh:mm+hhmm,1976-09-23T11:11+1111
YYYY-MM-DDThh:mm+hh,1976-09-23T11:11+11
YYYY-MM-DDThh:mm-hh:mm,1976-09-23T11:11-11:11
YYYY-MM-DDThh:mm-hhmm,1976-09-23T11:11-1111
YYYY-MM-DDThh:mm-hh,1976-09-23T11:11-11
YYYY-MM-DD hh:mmZ,1976-09-23 11:11Z
YYYY-MM-DD hh:mm+hh:mm,1976-09-23 11:11+11:11
YYYY-MM-DD hh:mm+hhmm,1976-09-23 11:11+1111
YYYY-MM-DD hh:mm+hh,1976-09-23 11:11+11
YYYY-MM-DD hh:mm-hh:mm,1976-09-23 11:11-11:11
YYYY-MM-DD hh:mm-hhmm,1976-09-23 11:11-1111
YYYY-MM-DD hh:mm-hh,1976-09-23 11:11-11
YYYY-MM-DDThh:mm:ssZ,1976-09-23T11:11:11Z
YYYY-MM-DDThh:mm:ss+hh:mm,1976-09-23T11:11:11+11:11
YYYY-MM-DDThh:mm:ss+hhmm,1976-09-23T11:11:11+1111
YYYY-MM-DDThh:mm:ss+hh,1976-09-23T11:11:11+11
YYYY-MM-DDThh:mm:ss-hh:mm,1976-09-23T11:11:11-11:11
YYYY-MM-DDThh:mm:ss-hhmm,1976-09-23T11:11:11-1111
YYYY-MM-DDThh:mm:ss-hh,1976-09-23T11:11:11-11
YYYY-MM-DD hh:mm:ssZ,1976-09-23 11:11:11Z
YYYY-MM-DD hh:mm:ss+hh:mm,1976-09-23 11:11:11+11:11
YYYY-MM-DD hh:mm:ss+hhmm,1976-09-23 11:11:11+1111
YYYY-MM-DD hh:mm:ss+hh,1976-09-23 11:11:11+11
YYYY-MM-DD hh:mm:ss-hh:mm,1976-09-23 11:11:11-11:11
YYYY-MM-DD hh:mm:ss-hhmm,1976-09-23 11:11:11-1111
YYYY-MM-DD hh:mm:ss-hh,1976-09-23 11:11:11-11
YYYY-MM-DDThh:mm:ss.sssZ,1976-09-23T11:11:11.888Z
YYYY-MM-DDThh:mm:ss.sss+hh:mm,1976-09-23T11:11:11.888+11:11
YYYY-MM-DDThh:mm:ss.sss+hhmm,1976-09-23T11:11:11.888+1111
YYYY-MM-DDThh:mm:ss.sss+hh,1976-09-23T11:11:11.888+11
YYYY-MM-DDThh:mm:ss.sss-hh:mm,1976-09-23T11:11:11.888-11:11
YYYY-MM-DDThh:mm:ss.sss-hhmm,1976-09-23T11:11:11.888-1111
YYYY-MM-DDThh:mm:ss.sss-hh,1976-09-23T11:11:11.888-11
YYYY-MM-DD hh:mm:ss.sssZ,1976-09-23 11:11:11.888Z
YYYY-MM-DD hh:mm:ss.sss+hh:mm,1976-09-23 11:11:11.888+11:11
YYYY-MM-DD hh:mm:ss.sss+hhmm,1976-09-23 11:11:11.888+1111
YYYY-MM-DD hh:mm:ss.sss+hh,1976-09-23 11:11:11.888+11
YYYY-MM-DD hh:mm:ss.sss-hh:mm,1976-09-23 11:11:11.888-11:11
YYYY-MM-DD hh:mm:ss.sss-hhmm,1976-09-23 11:11:11.888-1111
YYYY-MM-DD hh:mm:ss.sss-hh,1976-09-23 11:11:11.888-11
YYYYDDMMThhZ,19762309T11Z
YYYYDDMMThh+hh:mm,19762309T11+11:11
YYYYDDMMThh+hhmm,19762309T11+1111
YYYYDDMMThh+hh,19762309T11+11
YYYYDDMMThh-hh:mm,19762309T11-11:11
YYYYDDMMThh-hhmm,19762309T11-1111
YYYYDDMMThh-hh,19762309T11-11
YYYYDDMM hhZ,19762309 11Z
YYYYDDMM hh+hh:mm,19762309 11+11:11
YYYYDDMM hh+hhmm,19762309 11+1111
YYYYDDMM hh+hh,19762309 11+11
YYYYDDMM hh-hh:mm,19762309 11-11:11
YYYYDDMM hh-hhmm,19762309 11-1111
YYYYDDMM hh-hh,19762309 11-11
YYYYDDMMThhmmZ,19762309T1111Z
YYYYDDMMThhmm+hh:mm,19762309T1111+11:11
YYYYDDMMThhmm+hhmm,19762309T1111+1111
YYYYDDMMThhmm+hh,19762309T1111+11
YYYYDDMMThhmm-hh:mm,19762309T1111-11:11
YYYYDDMMThhmm-hhmm,19762309T1111-1111
YYYYDDMMThhmm-hh,19762309T1111-11
YYYYDDMM hhmmZ,19762309 1111Z
YYYYDDMM hhmm+hh:mm,19762309 1111+11:11
YYYYDDMM hhmm+hhmm,19762309 1111+1111
YYYYDDMM hhmm+hh,19762309 1111+11
YYYYDDMM hhmm-hh:mm,19762309 1111-11:11
YYYYDDMM hhmm-hhmm,19762309 1111-1111
YYYYDDMM hhmm-hh,19762309 1111-11
YYYYDDMMThhmmssZ,19762309T111111Z
YYYYDDMMThhmmss+hh:mm,19762309T111111+11:11
YYYYDDMMThhmmss+hhmm,19762309T111111+1111
YYYYDDMMThhmmss+hh,19762309T111111+11
YYYYDDMMThhmmss-hh:mm,19762309T111111-11:11
YYYYDDMMThhmmss-hhmm,19762309T111111-1111
YYYYDDMMThhmmss-hh,19762309T111111-11
YYYYDDMM hhmmssZ,19762309 111111Z
YYYYDDMM hhmmss+hh:mm,19762309 111111+11:11
YYYYDDMM hhmmss+hhmm,19762309 111111+1111
YYYYDDMM hhmmss+hh,19762309 111111+11
YYYYDDMM hhmmss-hh:mm,19762309 111111-11:11
YYYYDDMM hhmmss-hhmm,19762309 111111-1111
YYYYDDMM hhmmss-hh,19762309 111111-11
YYYYDDMMThhmmss.sssZ,19762309T111111.888Z
YYYYDDMMThhmmss.sss+hh:mm,19762309T111111.888+11:11
YYYYDDMMThhmmss.sss+hhmm,19762309T111111.888+1111
YYYYDDMMThhmmss.sss+hh,19762309T111111.888+11
YYYYDDMMThhmmss.sss-hh:mm,19762309T111111.888-11:11
YYYYDDMMThhmmss.sss-hhmm,19762309T111111.888-1111
YYYYDDMMThhmmss.sss-hh,19762309T111111.888-11
YYYYDDMM hhmmss.sssZ,19762309 111111.888Z
YYYYDDMM hhmmss.sss+hh:mm,19762309 111111.888+11:11
YYYYDDMM hhmmss.sss+hhmm,19762309 111111.888+1111
YYYYDDMM hhmmss.sss+hh,19762309 111111.888+11
YYYYDDMM hhmmss.sss-hh:mm,19762309 111111.888-11:11
YYYYDDMM hhmmss.sss-hhmm,19762309 111111.888-1111
YYYYDDMM hhmmss.sss-hh,19762309 111111.888-11
YYYYDDMMThh:mmZ,19762309T11:11Z
YYYYDDMMThh:mm+hh:mm,19762309T11:11+11:11
YYYYDDMMThh:mm+hhmm,19762309T11:11+1111
YYYYDDMMThh:mm+hh,19762309T11:11+11
YYYYDDMMThh:mm-hh:mm,19762309T11:11-11:11
YYYYDDMMThh:mm-hhmm,19762309T11:11-1111
YYYYDDMMThh:mm-hh,19762309T11:11-11
YYYYDDMM hh:mmZ,19762309 11:11Z
YYYYDDMM hh:mm+hh:mm,19762309 11:11+11:11
YYYYDDMM hh:mm+hhmm,19762309 11:11+1111
YYYYDDMM hh:mm+hh,19762309 11:11+11
YYYYDDMM hh:mm-hh:mm,19762309 11:11-11:11
YYYYDDMM hh:mm-hhmm,19762309 11:11-1111
YYYYDDMM hh:mm-hh,19762309 11:11-11
YYYYDDMMThh:mm:ssZ,19762309T11:11:11Z
YYYYDDMMThh:mm:ss+hh:mm,19762309T11:11:11+11:11
YYYYDDMMThh:mm:ss+hhmm,19762309T11:11:11+1111
YYYYDDMMThh:mm:ss+hh,19762309T11:11:11+11
YYYYDDMMThh:mm:ss-hh:mm,19762309T11:11:11-11:11
YYYYDDMMThh:mm:ss-hhmm,19762309T11:11:11-1111
YYYYDDMMThh:mm:ss-hh,19762309T11:11:11-11
YYYYDDMM hh:mm:ssZ,19762309 11:11:11Z
YYYYDDMM hh:mm:ss+hh:mm,19762309 11:11:11+11:11
YYYYDDMM hh:mm:ss+hhmm,19762309 11:11:11+1111
YYYYDDMM hh:mm:ss+hh,19762309 11:11:11+11
YYYYDDMM hh:mm:ss-hh:mm,19762309 11:11:11-11:11
YYYYDDMM hh:mm:ss-hhmm,19762309 11:11:11-1111
YYYYDDMM hh:mm:ss-hh,19762309 11:11:11-11
YYYYDDMMThh:mm:ss.sssZ,19762309T11:11:11.888Z
YYYYDDMMThh:mm:ss.sss+hh:mm,19762309T11:11:11.888+11:11
YYYYDDMMThh:mm:ss.sss+hhmm,19762309T11:11:11.888+1111
YYYYDDMMThh:mm:ss.sss+hh,19762309T11:11:11.888+11
YYYYDDMMThh:mm:ss.sss-hh:mm,19762309T11:11:11.888-11:11
YYYYDDMMThh:mm:ss.sss-hhmm,19762309T11:11:11.888-1111
YYYYDDMMThh:mm:ss.sss-hh,19762309T11:11:11.888-11
YYYYDDMM hh:mm:ss.sssZ,19762309 11:11:11.888Z
YYYYDDMM hh:mm:ss.sss+hh:mm,19762309 11:11:11.888+11:11
YYYYDDMM hh:mm:ss.sss+hhmm,19762309 11:11:11.888+1111
YYYYDDMM hh:mm:ss.sss+hh,19762309 11:11:11.888+11
YYYYDDMM hh:mm:ss.sss-hh:mm,19762309 11:11:11.888-11:11
YYYYDDMM hh:mm:ss.sss-hhmm,19762309 11:11:11.888-1111
YYYYDDMM hh:mm:ss.sss-hh,19762309 11:11:11.888-11
YYYY/DD/MMThhZ,1976/23/09T11Z
YYYY/DD/MMThh+hh:mm,1976/23/09T11+11:11
YYYY/DD/MMThh+hhmm,1976/23/09T11+1111
YYYY/DD/MMThh+hh,1976/23/09T11+11
YYYY/DD/MMThh-hh:mm,1976/23/09T11-11:11
YYYY/DD/MMThh-hhmm,1976/23/09T11-1111
YYYY/DD/MMThh-hh,1976/23/09T11-11
YYYY/DD/MM hhZ,1976/23/09 11Z
YYYY/DD/MM hh+hh:mm,1976/23/09 11+11:11
YYYY/DD/MM hh+hhmm,1976/23/09 11+1111
YYYY/DD/MM hh+hh,1976/23/09 11+11
YYYY/DD/MM hh-hh:mm,1976/23/09 11-11:11
YYYY/DD/MM hh-hhmm,1976/23/09 11-1111
YYYY/DD/MM hh-hh,1976/23/09 11-11
YYYY/DD/MMThhmmZ,1976/23/09T1111Z
YYYY/DD/MMThhmm+hh:mm,1976/23/09T1111+11:11
YYYY/DD/MMThhmm+hhmm,1976/23/09T1111+1111
YYYY/DD/MMThhmm+hh,1976/23/09T1111+11
YYYY/DD/MMThhmm-hh:mm,1976/23/09T1111-11:11
