sticky row	identifier_PK	name	date added	update date	priority	justification	implemented	system	qualityType	statusType	description	level	EML path	expected	found	explanation	suggestion	reference	example failure	failure notes	example success	
12	fieldDelimiterValid	Field delimiter is a single character		3/1/2012	2	good practice	Yes	KNB	metadata	error	field delimiters should be one character only	entity	dataTable/physical/data/Format/fieldDelimiter	a single character is expected	more than one character	fieldDelimiter should be a single character such as (,;:|) or an escape of a single character such as \t for tab. Decimal or hex values of ASCII characters may be used such as #32, #x20, or 0x20 for the space character.	fieldDelimiter must be a single character or its representation, either decimal, hex, or escaped	http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-physical.html#fieldDelimiter	knb-lter-mcr.5005.1	3 entities have the word 'comma'	knb-lter-mcr.5005.2	
13	tooFewFields	Data does not have fewer fields than metadata attributes		6/7/2012	1	workflow	Yes	KNB	congruency	error	compare number of fields specified in metadata to number of fields found in data records	entity	dataTable/physical/data/Format/fieldDelimiter		a record has a number of fields less than specified number of attributes.Return that record's position.		Check the row for problems (un-escaped delimiters, unquoted strings, too few fields). Also check these elements in metadata: collapseDelimiters, recordDelimiter, fieldDelimiter, quoteCharacter.	http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-dataTable.html#numberOfRecords				
14	headerRowAttributeNames	header row is displayed alongside attribute names		3/6/2012	2	workflow		LTER	congruency	info	compare tne content of the data header row to the content to attribute names	entity	dataTable/attributeList/attribute/attributeName	no expectation, information only	display last line of header and display list of attribute names	checker should report only	customer evaluate	EML BP v1 suggested that attributeName content is the same. V2, maybe not.				
15	numericFields	Numeric fields do not have string content		3/6/2012	1	workflow		KNB	congruency	warn	Check for presence of a non-numeric string when a number is expected	entity	dataTable/attributeList/attribute/measurementScale/numericType	numeric value	non-numeric string value (other than defined missing value codes)	show customer the numericType and sample of data. 	customer evaluate					
16	datesWithinBounds	Dates are within stated bounds		3/6/2012	2	workflow		KNB	congruency	warn	compare date range in attrbute metadata to that at dataset level   Must honor content of the required attribute 'exclusive' 	entity	dataTable/attributeList/attribute/dateTime/dateTimeDomain/bounds (in eml 2.0: dataTable/attributeList/attribute/datetime/dateTimeDomain/bounds)	entries within date field(s) bounded by metadata date range	returns warning if dates outside metadata range	This field is prescriptive, and states allowable range. so there is not a provision to not inforce.	Best: update range in metadata or fix data so values match (whichever is appropriate), or next-best: drop this optional eml node.	http://knb.ecoinformatics.org/software/eml/eml-2.0.1/eml-attribute.html#DateTimeDomainType				
17	dateFormatMatches	Date format in metadata matches data		4/6/2017	1	workflow	Yes	LTER	congruency	warn 	dateTime/formatString in attribute metadata is from the preferred list, and the data matches. A non-match generates only a warn. also see date format non-preferred check. 	entity	dataTable/attributeList/attribute/dateTime/formatString	format string is preferred, and all values match format string	dates that do not match formatString	One or more dates do not match the given format string	dates should be consistently formatted and match the formatString in metadata.	http://knb.ecoinformatics.org/software/eml/eml-2.0.1/eml-attribute.html#formatString	 knb-lter-sbc.17.21	 metadata: MM-DD-YYYY, data: MM/DD/YYYY. but entity was successfully  read by DML into postgres (sbc's app).	knb-lter-sbc-21	
18	isoDateFormat	ISO date format check. possibly out of scope: 		3/7/2012	deprecate. see sticky rows 17,71	good practice XX		LTER	data XX	info XX	check to see if the date formats are ISO	entity	dataTable/attributeList/attribute/dateTime/formatString (in eml 2.0: dataTable/attributeList/attribute/datetime/formatString)	date string and dates are ISO	non-ISO	the normative docs and EML BP do not do a good job of describing an ISO date	add to  EML BP, ref the customer there.	http://www.w3.org/TR/NOTE-datetime  http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-attribute.html#formatString	knb-lter-sbc.4011.4	found this: timestamp_local,timestamp_utc,... 2000-10-01T00:00,2000-10-01T07:00,...  in data, with mangled dateTime/format		
19	utcOffset	Out of scope: UTC offset check		3/7/2012	deprecate	good practice XX		KNB	congruency XX		If data are labeled with a UTC offset, check that data agree with stated offset.	entity	dataTable/attributeList/attribute/dateTime/formatString (in eml 2.0: dataTable/attributeList/attribute/datetime/formatString)						knb-lter-sbc.4011.4	dataset has 2 time columns, one labeled UTC, one local, which are supposed to represent the same instant. The time offset is given as -8 hours, but some data are only 7 hours apart.		
20	notNullConstraint	If constraint specified notNull, then data has no null fields		3/6/2012	3	workflow		KNB	congruency	warn	If an attribute has been desginated to be "non null", then the data in that column should have no NULL fields. 	entity	dataTable/attributeList/attribute/ratio | integer/constraint/notNullConstraint	this column in data has no null fields	null fields	Metadata says that data values for <attribute> should not be null, but null values were found in theses rows: row# row content	repair data table, or reset metadata, as apporpriate	http://knb.ecoinformatics.org/software/eml/eml-2.0.1/eml-constraint.html#notNullConstraint				
21	otherConstraints	Other constraint checks		3/6/2012	postpone				congruency XX		probably out of scope for this version of the checker.	entity										
22	examineRecordDelimiter	Data are examined and possible record delimiters are displayed		3/20/2012	1	workflow	Yes	KNB	congruency	warn	If no record delimiter was specified, we assume that \r\n is the delimiter. Search the first row for other record delimiters and see if other delimiters are found.	entity	 physical/*/recordDelimiter	No other potential record delimiters expected in the first row.	other potential record delimiters were found	Detection of line endings may be automatic on most systems, so this may not be important.	Ensure that record delimiters are correctly specified.		knb-lter-sbc.24.9	metadata says #x0A, data says \r\n	knb-lter-mcr.3.14	
23	urlReturnsData	entity level URL returns data		2/17/2012	1	workflow	Yes	KNB	congruency	error	Checks whether a URL returns data. Unless the URL is specified to be  function="information", the URL should return the resource for download.	entity	dataTable/physical/distribution/online/url	A data entity that matches the metadata	Case 1. an http error response code;   Case 2. some other web page.	Case 1: interpret response code, e.g., 404=broken url;  Case 2: found a web page instead of data entity	URL should return a data entity	http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-resource.html#UrlType				
24	displayDownloadData	Display downloaded data		3/6/2012	1	good practice	Yes	KNB	data	info	Display the first kilobyte of data that is downloaded	entity	entity URL	Up to one kilobyte of data should be displayed								
25	displayFirstInsertRow	Display first insert row		3/6/2012	1	good practice	Yes	KNB	data	info  	Display the first row of data values to be inserted into the database table	entity	entity URL	The first row of data values should be displayed		there is content, show customer  	customer evaluate	none  	knb-lter-mcr.4001.6, entity #1	data are under https, requires login		
26	duplicateRowCount	Duplicate data rows are displayed		3/6/2012	3	good practice		LTER	data	info	The customer should know if there are duplicate lines of data. this is another info check, but may be out of scope. 	entity	entity URL	no of rows loaded = number of unique rows loaded	duplicate rows	Tell the customer that duplicate rows were found	customer evaluate	none				
27	missingValueCodes	Missing value codes check		3/6/2012	deprecate in favor of sticky row 15				data XX	info XX	 The customer should know if there are data fields which should be declared as missing values but are not.  this is another info check, and may be out of scope. See comment, and below.	entity	entity URL	1. no empty fields?, 2. all fields that are not missing values are correctly typed	empty fields	Tell the customer that rows were found that had empty values.	Please use the notNullConstraint element where appropriate, otherwise nulls are allowed.	http://knb.ecoinformatics.org/software/eml/eml-2.0.1/eml-constraint.html#notNullConstraint				
28	otherMissingValueCodes	Other missing value codes check		3/7/2012	postpone			LTER	data XX		Possibly out of scope for this version.  This field is related to the data typing check	entity										
29	packageIdPattern	packageId pattern matches "scope.identifier.revision"		2/13/2012	1	pasta	Yes	LTER	metadata	error	check against requirements for scope.identifier.revision	dataset	/eml:eml@packageId	tbd		tbd	packageId must conform	tbd. should this go into BP now? also see <alternateIdentifier>	knb-lter-ntl.205.2	packageId="knb-lter-ntl.10022006112019153.2" system="http://lterquery.limnology.wisc.edu"	knb-lter-gce.1.18	
30	entityIdMatchesAttributeQualifier	Entity id matches attribute qualifier		3/6/2012	postpone 			LTER	metadata XX	info XX	checks to see if entity id is present	entity										
31	dataWithinEnumeratedDomain	if attribute had enumeratedDomain, data values are within domain		3/6/2012	2	workflow		KNB	congruency	warn 	Compare data values to a list in metadata, lists codes not found in metadata. compare should not be case-sensitive (if caseSensittive='no"). Also see attribute enforced="yes|no"	entity	dataTable/attributeList/attribute/nominal/enumeratedDomain and dataTable/caseSensitive	if <enumeratedDomain enforce="yes">  or not present, then all values in data entity attribute (col) should be in metadata.	data that were not in the domain	data have values that are not in enumeratedDomain/code fields. The attribute 'enforced' is optional, but defaults to "yes" 	best: add code:defintion pairs for these values found in data: XX, ZZ CC. Next-best, change node parent to <enumeratedDomain enforce="no">	http://knb.ecoinformatics.org/software/eml/eml-2.0.1/eml-attribute.html#enumeratedDomain				
32	attributeNameNotReservedWord	attributeName is not in a reserved word [LIST]		3/6/2012	3	good practice		KNB	metadata	info	check that attributes are not reserved words. the scope of what is reserved is  still TBA	entity	dataTable/attributeList/attribute/attributeName	no reserved words	reserved word	a community might disallow certrain wods as attribute names.	don't use workds from this list	none, yet.				
33	databaseTableCreated	Database table created		3/6/2012	1	workflow	Yes	KNB	metadata	error	Checks that a database table could be generated from the EML attribute list	entity	dataTable/attributeList	A database table is successfully created	SQL error while creating the database table	CREATE TABLE statement, as well as SQL error message (if applicable)			SQLException while generating data table 'Average_monthly_sea_surface_temperature' for entity 'Average monthly sea surface temperature': ERROR: syntax error at or near "(" Position: 76 CREATE TABLE Average_monthly_sea_surface_temperature(seq_day TIMESTAMP,date(YYYYMMDD) TIMESTAMP,sst_mean FLOAT,sst_anomaly FLOAT);	Failures might be caused by the Data Manager Library not using the correct SQL syntax for the DDL statement that creates the table. Even in these cases, it's important to report errors so that bugs in the Data Manager Library code can be fixed.		
34	attributeNamesUnique	Attribute names are unique		7/10/2013	2	good practice	Yes	KNB	metadata	warn	Checks if attributeName values are unique in the table. Not required by EML.	entity	dataTable/attributeList/attribute/attributeName	Unique attribute names.	EML attributeName elements with identical content 	A good table does not have duplicate column names.	Check attribute names; best practice says these should be unique.	tba, LTER BP				
35	controlledVocabularyPresence	at least one controlled vocabulary term (preferred or non-preferred) is in keywords		3/6/2012	2	good practice		LTER	metadata	warn 	dataset contains one or more terms from LTER vocab case insensitive, whole term	dataset	dataset/keywordSet/keyword	at least one keyword in the doc can be found in the controlled vocab hierarchy (preferred or non-preferred) 	 no keywords that are in LTER vocab.	quite possibly dataset searches will only search keyword fields. So every doc should have  at least one keyword node containing a term from LTER vocab.	add one or more keywords from the LTER Vocab.	(tba) controlled vocab best practices and EML BP v.2 page 18			knb-lter-sbc.55	attributeIds are qualified with table name
36	controlledVocabularyPreferred	check to see if Controlled vocabulary preferred term is present		3/6/2012	3	good practice		LTER	metadata	warn	preferred keywords from LTER vocab	dataset	dataset/keywordSet/keyword 	document has preferred form for a term in the LTER vocab.	no keywords match controlled vocab preferred term	users want to know if their keywords include the preferred term. 	add one or more preferred keywords from the LTER Vocab.	tba, LTER controlled vocab.				
37	temporalCoveragePresent	check to see if temporalCoverage element is present		8/22/2012	3	good practice	Yes	LTER	metadata	info	Check that temporalCoverage exists in EML at the dataset level, or at least one entity's level, or at least one attribute's level.	dataset, entity	 /eml:eml/dataset/coverage/temporalCoverage dataset/dataTable/coverage/temporalCoverage dataset/dataTable/attributeList/attribute/temporalCoverage 	temporalCoverage at least at the dataset level. 	Report the total number of temporalCoverage elements found.	LTER wants to search  datasets by time; the best place to search is the dataset level temporal coverage.	Most datasets have a temporal range.	EML BP v.2 page 24	knb-lter-mcr.6001.2  or knb-lter-bes.404.49	temporal coverage is not appropriate for mcr.6001.2.The bes.404.49 example is missing its coverage	knb-lter-mcr.6	
38	geographicCoveragePresent	check to see if geographicCoverage is present		8/22/2012	3	good practice	Yes	LTER	metadata	info	Check that geographicCoverage exists in EML at the dataset level, or at least one entity's level, or at least one attribute's level.	dataset, entity	dataset/coverage/geographicCoverage dataset/[entity]/coverage/geographicCoverage dataset/[entity]/attributeList/attribute/coverage/geographicCoverage dataset/methods/spatialSamplingUnits/geographicCoverage	geographicCoverage at least at the dataset level.	Report the total number of geographicCoverage elements found.	Many but not all datasets are appropriate to have spatial coverage.	If sampling EML is used within methods, does that obviate geographicCoverage? Or should those sites be repeated or referenced?	EML BP v.2 page 22 "one <geographicCoverage> element should be included, whose <boundingCoordinates> describe the extent of the data. " ... Additional <geographicCoverage> elements may be entered at the dataset level if there are significant distances between study sites and it would be confusing if they were grouped into one bounding box."  6 decimal places	knb-lter-mcr.6001.2	absence of geographicCoverage. Although there was no sampling, per se, it does pertain to a general geographic region.	knb-lter-mcr.6	
39	taxonomicCoveragePresent	check to see if taxonomicCoverage is present		8/22/2012	3	good practice	Yes	LTER	metadata	info	Check that taxonomicCoverage exists in EML at the dataset level, or at least one entity's level, or at least one attribute's level.	dataset, entity	dataset/coverage/taxonomicCoverage dataset/dataTable/coverage/taxonomicCoverage dataset/dataTable/attributeList/attribute/taxonomicCoverage 	taxonomicCoverage at least at the dataset level.	Report the total number of taxonomicCoverage elements found.	Only when taxa are pertinent to the dataset will they have taxonomicCoverage.  	Could search title, abstract, keywords for any taxonomic name (huge). Could search keywordType="taxonomic".	EML BP v.2 page 25	knb-lter-mcr.9	met data; has no organisms.  But how would checker determine that?	knb-lter-mcr.6	
40	temporalCoverageCongruence	temporalCoverage matches data		3/6/2012	postpone				congruency XX	info XX	if there is a date column, does range match bounds of coverage element?	entity	"dataset level:  /eml:eml/dataset/coverage dataTable level:  /eml:eml/dataset/dataTable/coverage attribute level:   /eml:eml/dataset/dataTable/attributeList/attribute/coverage"	dates read from dataTable datetime columns are within temporalCoverage rangeOfDates or singleDate.	fails if a date is out of coveage range	Dates in data table should be within range of dates in temporalCoverage.		EML BP v.2 page 24	knb-lter-arc.1661.3 	data goes thru 2007-Dec-31 but coverage ends on Oct-31.  (Also title has 2006.)	knb-lter-mcr.15.10	
41	jaggedArray	jagged array		3/6/2012	deprecate	workflow XX			congruency XX		common to see a last column for comments is blank, even w/o delimiter for majority of rows.	entity		All rows should have same number of columns.		DML assumes missing columns are all nulls of right-hand-side columns. So jagged arrays will load but not necessarily correctly. Only if data type miss-matches occur will the DML reject a row.	Do not allow jagged arrays; require missing value codes. (No ,,)					
42	titleHasSiteAcronym	title has site acronym	2/20/2012	3/6/2012	deprecate			LTER	metadata XX	info XX	does the title have the site's acronym	dataset	/eml:eml/dataset/title	site acronym in title.         Perhaps remove this check? It is more for federation, not within the LTER catalog that it matters.	Title contains one of the 28 acronyms (including NIN and LNO). Case sensitive due to AND.      Last 3 letters of scope, capitalized, occurs in title.	When LTER datasets get federated beyond LTER, having ABC LTER in the title may help carry identity/recognition.						
43	entityDescriptionPresent	check to see if an entity description is present		7/11/2013	2	discovery	Yes	LTER	metadata	warn	Check for presence of an entity description.	entity		Best practices pp.32-33 - "should have enough information for a user..."		With entityName serving as a file name rather than a title, it is important to be very descriptive here.						
44	titleLength	dataset title length is at 5 least words		8/23/2012	2	discovery	Yes	LTER	metadata	warn	if the title is shorter than 5 words, it might be insufficient. Title word count >= 7 and <= 20 including prepositions and numbers.	dataset	/eml:eml/dataset/title	Between 7 and 20 "words".	Number of "words" found in the title.	Best practices document, page 13, says write a good title. This is the first view of a dataset. To include what, where and when takes at least 7 words. This at there from YYYY.	If too short: "Ensure title covers what, where and when". If too long: "Title more concisely."	EML BP v.2 page 13	knb-lter-arc.1349.1 one word. knb-lter-pie.85.3 has 39 word title. knb-lter-arc.1661.3 has 23 words so would fail.	title = "93pektmp.txt" the filename.  pie example title is the abstract.	knb-lter-mcr.1035 has 7; knb-lter-and.3217.6 has 20.	https://docs.google.com/document/d/1EjHRtGTOVHq2PqXUO6DSeAcgQGZHVqxVx3UbjWztFDQ/edit
45	entityPresence	check to see if one of dataTable, view, spatialRaster or spatialVector is present		2/15/2012	2	workflow		LTER	metadata	warn	only entity types that require attributes can be checked	dataset	dataset/dataTable, datset/spatialRaster, dataset/spatialVector/ dataset/view	Best practices p.33			only entities that require attributeLists can be checked. otherEntity cannot be checked.					
46	entityNameLength	Length of entityName is not excessive (less than 100 char)		3/21/2012	1	good practice	Yes	KNB	metadata	warn	length of entity name is less than 100 characters 	entity	[entity]//entityName									
47	objectNamePresence	presence of objectName for function="download"		2/15/2012	deprecate			LTER	 metadata XX		not sure - objectName may only have passive use	entity										
48	numericValuesWithinBounds	Numeric values are within stated bounds		3/6/2012	2	workflow		KNB	congruency	warn 	compare data to stated bounds in metadata. Also honor content of required attribute 'exclusive' 	entity	dataTable/attributeList/attribute/ratio | integer/numericDomain/boundsGroup	all values should be within range	data that were not in the domain	this field is prescriptive, and states allowable range. so there is not a provision to not inforce.	Best: update range in metadata or fix data so values match (whichever is appropriate), or next-best: drop this optional eml node.	http://knb.ecoinformatics.org/software/eml/eml-2.0.1/eml-attribute.html#bounds				
49	externallyDefinedFormatPresence	presence of externallyDefined Format when otherEntity used		2/15/2012	deprecate (obviate)			LTER	metadata XX		otherEntity implies an external format which should be described	entity										
50	functionEqualsDownload	check for function="download"		2/15/2012	deprecate.			LTER	metadata XX	error XX	"download" is necessary to indicate data is directly available	entity	dataTable/physical/distribution/online/url function="download"						knb-lter-cap.323.1  ?			
51	textFormatPresence	presence of textFormat with dataTable		2/15/2012	deprecate maybe					warn XX	only text data can be loaded into a database, 	entity										
52	endDateNotFuture	temporalCoverage endDate is not in the future		2/17/2012	3	good practice		LTER	metadata	info	endDate is not later than today	dataset	dataset level:  /eml:eml/dataset/coverage/temporalCoverage/rangeOfDate/calendarDate/ dataset/dataTable/coverage/temporalCoveragetemporalCoverage/rangeOfDate/calendarDate/ dataset/dataTable/attributeList/attribute/temporalCoveragetemporalCoverage/rangeOfDate/calendarDate/ 	<endDate> not in future.	fails if endDate in future of date of check	It is better to state an end date that guarantees that the data are present up to that date with more data possibly being available in future.	The endDate should be the last date of data included in this revision of this dataset.	EML BP v.2 page 24	knb-lter-bnz.379.8	bnz.379 is model output thru year 2100	knb-lter-mcr.6	
53	titleIncludesYears	title includes year(s)		2/20/2012	deprecate			LTER	metadata XX	info XX	Start year and either "ongoing" or end year should appear in title. When entire EML is presented, temporalCoverage handles this.  However, in a citation only the title covers this.	dataset	/eml:eml/dataset/title	At least one four-digit number should appear in title.	No four-digit number appears in title.	Start date (and end date when not ongoing) should appear in the title as a four-digit number.	Include date(s) in title.	EML BP p.13	knb-lter-sbc.10.15	no year in title.  Should say "2001, ongoing."	knb-lter-arc.1661.3	
54	pubDatePresent	pubDate element is present		7/11/2013	2	good practice	Yes	LTER	metadata	warn	Check for presence of the pubDate element	dataset	/eml:eml/dataset/pubDate	The date that the dataset was submitted for publication in pasta must be included.  (The EML schema does not require this element, but when present, does constrain its format to YYYY-MM-DD or just YYYY.  Citation format uses only the YYYY portion even if a full date is entered.) 	pubDate present	pubDate is part of citation. pubDate qualifies use of "ongoing" in other metadata elements.	 The <pubDate> should be updated when data and/or metadata are updated or re released. The format can be either a 4-digit year, or an ISO date (YYYY-MM-DD).  EML BP v.2 p. 17	The year of public release of data online should be listed as the <pubDate> element . The <pubDate> should be updated when data and/or metadata are updated or re released. The format can be either a 4-digit year, or an ISO date (YYYY-MM-DD).  EML BP v.2 p. 17	knb-lter-sbc.1.8, knb-lter-ntl.119.4	missing its pubDate	knb-lter-mcr.1.19, knb-lter-gce.1.18	
55	pubDateCongruent	check to see if pubDate congruent		2/20/2012	3	good practice		LTER	congruency 	warn	compare last date in data files to pubDate. 	entity	/eml:eml/dataset/pubDate	pubDate should be on or after last date in data.	latest date in data is after pubDate	warn may have forgotten to update pubDate.  Or pubDate may be miss-used; it is not the release date of the first version.  It is the publication date of the current revision.	update pubDate when updating a dataset	EML BP p.17	knb-lter-pie.129.3  pubDate is mid-range of temporalCoverage.  knb-lter-ntl.205.2 uses data date for pubDate.  	pubDate cannot be before last data in dataset since dataset is published on pubDate.	knb-lter-mcr.1.19, knb-lter-gce.1.18	
56	organizationNameAsCreator	check to see if organizationName present as creator		2/20/2012	deprecate			LTER	metadata XX	warn XX	organizationName is used in citation	dataset	/eml:eml/dataset/creator[1]/organizationName[1]  /eml:eml/dataset/publisher/organizationName	 <creator id="org-1" system="FLS" scope="system"> <organizationName>Fictitious LTER Site</organizationName>	first creator is site with orgName		The first creator listed should be the LTER site itself. <organizationName> should contain the site name.	EML BP p.14	knb-lter-bes.404.49  or knb-lter-and.4048.3	bes.404.49 has a publisher/organizationName but it contains contact instructions and Data Use Policy instead of an organizationName.     No org under creator.	knb-lter-luq.17.3	
57	intellectualRightsPresence	check to see if intellectualRights element is present		2/20/2012	3	good practice		LTER	metadata	info	Data Use Policy can be inline or cited via a URL. Each site can have its own or use the Network's. Even if a site chooses to waive these, it is better to be explicit.	dataset	/eml:eml/dataset/intellectualRights	Often using complex text elements such as <itemizedList>, this section of eml is "boilerplate" inserted identically in most eml docs from a site, with exceptions for exogenous/reference data such as USGS data. 	element present, with contents.	"<intellectualRights> should contain site data access policy, plus a description of any deviation from the general access policy specific for this particular dataset (e.g. restricted- access datasets). The timeframe for release should be included as well." - BP	It is recommended that data use policy be explicit.	EML BP p. 19	knb-lter-bes.404.49 or knb-lter-ntl.119.4	missing intellectualRights	knb-lter-cap.323.1	
58	methodsElementPresent	check to see if  methods element is present		3/23/2012	1	discovery	Yes	LTER	metadata	warn	All datasets should contain a methods element, at a minimum a link to a separate methods doc.	dataset	/eml:eml/dataset/methods /eml:eml/dataset/dataTable/methods /eml:eml/dataset/dataTable/attributeList/attribute/  where dataTable may be any entity type.	presence of <methods> at one or more xpaths. Same logic as for temporalCoverage.	element present, with contents.	"As a minimum, a reference to an external protocol should be given at the dataset level. However, detailed methods at this level are preferable. If further refinement is needed, methods can be defined for individual data entities or even individual <attribute>s if necessary. " - BP	"Since they are mostly for human consumption, one detailed description of all steps taken at the dataset level is frequently sufficient and more user friendly." - BP	EML BP p. 28	knb-lter-nwt.67.9	although methods appear at the NWT site, the eml omits them.	knb-lter-pie.129.3 or knb-lter-gce.1.18	
59	publisherPresence	check to see if publisher element is present		2/20/2012	2	good practice		LTER	metadata	info	publisher element is present	dataset	/eml:eml/dataset/publisher				publisher is useful for building a proper citation.			can creator/orgName sub for this?		
60	pubDateNotFuture	pubDate is not in future		2/20/2012	3	good practice		LTER	metadata	info	since pasta knows the current date, so can compare years.	dataset	/eml:eml/dataset/pubDate	year of pubDate is not in the future).	year of pubDate is a future year		See best practices, pubdate is not initial release date.	EML BP says to update pubdate for significant revisions. significant revisions are not defined.				
61	unencodedCharacters	unencoded characters		2/23/2012	deprecate maybe.  stick with utf8, or file a bug				metadata XX	info XX	encoding errors result from characters such as: μ in micron or an "em dash" or degree symbol.  Sometimes  these are not a problem, sometimes they cause (at least the web form) DPM to not return a result. Determine how to properly use odd characters.	any	any text element	the right encoding	encoding that does not match, ie not UTF-8	Ideally, show the offending character, not just "unencoded" generic message.	?	http://en.wikipedia.org/wiki/Greek_alphabet	knb-lter-mcr.8.24	Response Body Invalid byte 1 of 1-byte UTF-8 sequence.	knb-lter-mcr.987654.1  (in DPM not in metacat)	
62	tooManyFields	Data does not have more fields than metadata attributes		6/7/2012	1	workflow	Yes	LTER	congruency	error	compare number of fields specified in metadata to number of fields found in data records	entity	count(dataTable/attributeList/attribute) and dataTable/physical/data/format/fieldDelimiter		a record has a number of fields more than specified number of attributes.Return that record's position.		Check the row for problems (un-escaped delimiters, unquoted strings, extra fields). Also check these elements in metadata: collapseDelimiters, recordDelimiter, fieldDelimiter, quoteCharacter.	http://knb.ecoinformatics.org/software/eml/eml-2.1.0/eml-physical.html#dataFormat				
63	customUnitInUnitDictionary	customUnit was found in the LTER unit dictionary		3/1/2012	postpone	good practice		LTER	metadata XX	warn XX	compre string to unit dictionary and report wihch came from the unit dictionary	entity	                       /dataset/dataTable/attributeList/attribute//customUnit	custom units are from the unit dictionary	not in dictionary	The unit dictionary's custom units are well constructed						
